uid,dob,gender,province,country
129258,1997-12-20,2,45,vn
119306,1961-03-23,1,31,vn
122493,1995-02-23,1,20,vn
123580,1993-12-03,2,11,vn
111911,2001-03-12,2,42,vn
125528,1954-10-21,1,26,vn
101877,1976-06-02,2,12,vn
116218,1994-03-28,1,9,vn
105243,2000-06-22,2,11,vn
114195,2000-03-30,2,28,vn
113851,1950-12-26,1,47,vn
114655,1953-02-07,2,31,vn
114921,1998-01-07,2,41,vn
123600,1950-03-05,2,44,vn
109197,2004-09-16,2,15,vn
100410,1966-11-21,1,55,vn
128860,1987-12-06,1,62,vn
115124,1950-06-10,2,29,vn
112943,1975-09-16,2,23,vn
119447,1999-04-09,1,33,vn
108873,1997-04-11,2,20,vn
118332,1978-06-29,2,11,vn
110642,2005-10-11,1,54,vn
118836,1990-10-24,2,63,vn
106287,2002-01-03,2,9,vn
124867,2008-10-11,2,61,vn
110721,1964-11-18,1,49,vn
109138,1959-05-23,1,53,vn
117706,1957-03-10,2,41,vn
118127,1992-05-05,1,34,vn
118631,2002-12-31,2,41,vn
110133,1950-11-11,2,51,vn
111870,1987-12-11,2,54,vn
111491,1967-10-06,2,1,vn
110506,1972-04-10,1,63,vn
108826,1994-09-15,1,17,vn
106880,2007-03-20,1,44,vn
124230,1968-03-20,2,32,vn
121459,2006-02-09,1,3,vn
112244,1978-01-27,1,40,vn
105841,2005-03-04,2,5,vn
105225,1950-06-24,1,14,vn
118167,1951-03-03,2,16,vn
111581,2010-06-08,2,14,vn
118481,1963-01-23,2,13,vn
126483,1969-08-03,2,4,vn
126299,1971-05-02,2,63,vn
108927,1963-08-08,1,36,vn
115497,1980-11-23,2,54,vn
125113,2003-10-24,2,62,vn
103650,1965-07-08,1,24,vn
125601,1955-02-25,2,13,vn
127081,1995-04-20,2,19,vn
120391,1976-05-29,2,2,vn
120226,1992-06-22,2,41,vn
113668,1999-07-10,2,31,vn
126703,1990-01-31,1,55,vn
107669,2009-09-21,2,26,vn
120059,1977-10-30,1,28,vn
111421,1998-04-11,1,20,vn
129648,1960-01-14,2,50,vn
122570,1973-07-26,1,61,vn
117288,1973-07-18,2,5,vn
125244,2001-01-05,1,6,vn
125729,1985-07-31,1,63,vn
103580,1973-07-26,2,34,vn
129522,1967-10-28,2,15,vn
105341,1957-01-01,2,28,vn
113743,1999-11-08,2,62,vn
111035,1967-11-06,2,40,vn
112025,2002-08-07,1,45,vn
100504,1966-05-23,1,13,vn
117147,1968-09-15,2,24,vn
123909,1955-03-05,2,46,vn
111765,1960-02-24,2,63,vn
100906,1977-06-24,2,29,vn
110716,1985-02-07,2,36,vn
108529,1981-10-11,1,30,vn
115100,2005-04-12,1,14,vn
122634,1960-08-14,2,63,vn
116107,2006-09-16,1,46,vn
126542,1953-07-11,2,6,vn
123520,1972-12-30,1,35,vn
122720,1979-08-12,2,16,vn
119057,1974-11-13,1,25,vn
125180,1991-10-06,2,46,vn
100907,1957-12-05,2,2,vn
120414,1962-03-31,1,56,vn
112959,1956-07-12,1,22,vn
114532,1979-01-14,1,36,vn
113432,1977-09-22,2,37,vn
126902,1969-11-07,2,14,vn
108992,1962-11-26,1,47,vn
121490,1958-07-30,1,56,vn
101870,1987-05-17,2,48,vn
113202,2004-10-27,1,7,vn
105023,1995-04-19,1,23,vn
126944,1962-04-27,1,38,vn
110906,2006-03-26,2,24,vn
121965,1965-06-22,1,46,vn
105886,1960-10-16,1,37,vn
124000,1952-03-03,1,60,vn
125157,1983-05-25,1,53,vn
109679,1984-11-02,2,27,vn
111800,1957-01-28,1,42,vn
108694,1980-02-27,2,2,vn
112557,1972-12-12,2,51,vn
106590,1959-08-08,1,20,vn
112875,1995-05-10,2,9,vn
123802,1986-08-22,1,10,vn
107569,1962-09-11,2,30,vn
122364,1962-08-11,2,44,vn
109432,1997-11-24,2,42,vn
128407,1988-01-14,2,26,vn
123454,1961-01-08,2,58,vn
128585,1997-05-31,1,30,vn
129953,2001-01-02,2,13,vn
108758,1986-08-10,1,55,vn
127104,1969-12-29,1,37,vn
113402,2005-12-06,2,54,vn
119444,1964-12-13,2,35,vn
103121,1966-11-25,2,36,vn
120457,2006-03-23,1,39,vn
118997,1982-09-22,2,35,vn
109045,2008-12-22,1,59,vn
119932,2000-08-23,2,14,vn
112414,1985-05-30,2,9,vn
114511,1962-06-02,2,62,vn
107971,1961-02-21,2,34,vn
127030,1978-09-05,1,11,vn
106751,1986-09-22,1,57,vn
117030,1959-03-03,1,13,vn
103328,1985-01-25,2,31,vn
125305,1967-10-18,1,59,vn
109859,1969-09-30,1,8,vn
114352,2005-12-06,2,60,vn
120853,1964-02-07,2,3,vn
109614,1957-10-19,1,27,vn
115633,1997-08-11,1,29,vn
121894,1976-09-22,2,11,vn
117740,1956-11-18,1,63,vn
120309,1956-07-10,1,17,vn
127777,1980-10-28,2,17,vn
129206,1991-03-30,2,19,vn
115058,1976-06-24,1,45,vn
106501,1952-10-31,2,12,vn
128509,1974-08-12,2,52,vn
116225,1952-10-25,1,47,vn
120366,1973-02-07,2,14,vn
112913,1990-12-31,2,27,vn
100858,2010-11-03,2,13,vn
119414,1994-08-24,2,4,vn
129277,1961-07-30,1,57,vn
109703,1987-12-12,2,34,vn
108065,1998-10-15,2,51,vn
106033,1989-10-26,2,33,vn
104246,1968-02-28,1,28,vn
106312,1969-03-14,1,54,vn
120027,1995-11-25,2,11,vn
100954,1964-03-28,1,17,vn
121379,1996-05-31,1,2,vn
103277,2009-01-03,2,15,vn
118557,1957-01-16,1,20,vn
106941,1999-04-18,1,58,vn
108021,1957-07-17,1,62,vn
103353,1982-02-11,2,23,vn
109544,1998-06-26,2,5,vn
123188,1977-08-17,1,16,vn
125262,1989-11-14,1,41,vn
123054,1962-07-25,1,31,vn
109217,2004-11-23,2,61,vn
102355,1996-05-18,2,62,vn
124552,1993-01-21,2,17,vn
105094,2006-04-05,2,2,vn
126017,2008-08-13,2,44,vn
116757,1984-08-30,1,42,vn
112238,1950-04-20,1,60,vn
127660,1983-03-05,2,48,vn
113272,1969-06-27,1,3,vn
112430,2007-10-17,2,56,vn
106977,1959-12-15,2,33,vn
113349,1979-06-19,2,9,vn
129224,1989-08-31,2,19,vn
123723,1984-01-19,1,42,vn
118091,1958-10-18,2,45,vn
113535,1992-07-11,1,10,vn
127685,2002-11-07,2,3,vn
117256,1985-03-21,2,2,vn
120281,1986-08-23,2,38,vn
107370,1961-11-02,2,7,vn
122253,1955-11-23,1,20,vn
126577,2005-10-06,1,59,vn
103497,1977-10-05,1,35,vn
106106,1951-09-12,2,50,vn
106541,1977-12-30,1,1,vn
106706,2010-11-26,1,35,vn
107214,1966-02-16,2,14,vn
116282,1988-12-11,1,45,vn
115088,1967-09-06,2,47,vn
102518,1969-02-08,2,17,vn
129247,1951-03-02,1,40,vn
116479,2007-02-03,1,53,vn
119672,1958-02-12,1,15,vn
108848,1950-12-16,2,42,vn
113163,1981-07-14,2,1,vn
123636,2010-05-06,2,2,vn
121972,1959-08-27,2,40,vn
122921,2008-04-12,2,28,vn
120643,1988-10-11,1,62,vn
104409,1952-01-03,2,41,vn
116932,1973-09-20,2,45,vn
109678,1997-07-26,2,31,vn
115091,1997-03-21,2,63,vn
105075,1965-07-08,2,37,vn
126843,1954-08-20,2,26,vn
123634,1969-02-23,1,28,vn
115318,1999-08-17,2,27,vn
123457,2007-09-02,2,53,vn
104797,1985-01-25,2,60,vn
118742,2005-11-11,1,20,vn
105319,2000-05-10,2,5,vn
120025,1967-05-08,1,40,vn
115788,1966-08-21,2,39,vn
114971,1988-05-31,1,59,vn
117718,1964-10-27,1,14,vn
106633,2006-12-22,2,5,vn
111844,2005-07-16,2,13,vn
125980,1991-08-29,2,61,vn
117063,1993-07-22,2,61,vn
118917,1984-10-05,2,33,vn
123746,1990-04-07,1,2,vn
109391,1952-10-02,2,6,vn
106610,1954-02-14,1,31,vn
111916,1972-09-08,1,22,vn
103860,2004-03-10,1,30,vn
110728,1973-02-26,2,32,vn
127941,1961-10-19,2,30,vn
129523,1986-10-14,2,1,vn
109259,1991-01-03,2,44,vn
119528,1990-05-26,2,9,vn
114160,1964-12-13,2,20,vn
106030,2006-12-25,1,18,vn
118144,2002-09-26,2,37,vn
108423,1964-02-24,1,3,vn
102528,1971-04-30,1,8,vn
119451,1976-01-01,2,42,vn
117448,1955-04-22,2,50,vn
110686,1981-03-22,1,12,vn
127011,1978-06-09,1,5,vn
117695,1979-03-25,2,16,vn
117331,1962-07-25,1,44,vn
107199,1987-02-27,1,9,vn
106523,1975-03-15,2,57,vn
111149,2010-05-28,2,11,vn
103445,1967-06-28,1,11,vn
119419,2004-09-11,2,47,vn
120276,1974-10-14,2,15,vn
106734,2007-08-08,1,33,vn
103086,2010-02-06,1,38,vn
117101,1977-04-02,1,19,vn
124339,2008-05-06,2,19,vn
117845,1951-01-01,2,44,vn
123807,1987-12-04,2,25,vn
125239,1966-07-23,1,18,vn
129815,1982-05-07,2,49,vn
126886,1980-12-07,2,27,vn
102283,1973-03-11,1,4,vn
126634,1981-02-07,1,16,vn
129891,1953-06-11,1,30,vn
127461,1983-09-18,1,50,vn
111975,1959-06-17,1,12,vn
121350,1957-08-20,1,11,vn
109779,2007-11-20,1,41,vn
120237,1997-03-23,1,51,vn
107104,1963-01-03,1,14,vn
111003,2003-12-07,2,30,vn
126872,1989-09-04,1,51,vn
121869,1968-03-01,2,56,vn
102786,1957-10-27,1,44,vn
120672,1991-04-30,2,61,vn
117809,1985-03-16,1,20,vn
110480,1986-12-13,1,17,vn
109764,1982-03-01,2,16,vn
106474,1980-12-09,2,44,vn
103973,2001-01-10,1,60,vn
122567,2005-02-25,2,9,vn
104944,1997-12-10,1,28,vn
125720,1994-03-22,1,46,vn
116653,1984-01-07,1,25,vn
102071,2010-05-20,1,24,vn
115904,1962-08-21,2,24,vn
107046,1965-12-07,2,27,vn
105618,2000-12-16,2,22,vn
113206,1982-02-06,2,35,vn
115311,2010-09-11,2,29,vn
118090,1985-09-29,2,10,vn
126044,1973-04-12,1,42,vn
106124,2008-01-18,1,57,vn
122482,1997-01-07,1,51,vn
108674,1999-10-16,2,9,vn
114331,1966-04-30,2,26,vn
117129,2001-05-09,1,42,vn
117643,1994-04-02,2,10,vn
102541,1997-07-04,2,26,vn
122055,2002-09-09,1,1,vn
118216,1993-04-03,1,33,vn
126084,1951-10-30,2,20,vn
122313,2005-03-28,2,40,vn
119126,1998-01-26,1,35,vn
100036,1985-12-26,1,47,vn
117075,1962-01-15,2,16,vn
120592,1958-01-14,2,37,vn
108914,1959-01-13,2,30,vn
102699,2003-09-06,1,61,vn
105295,1971-01-09,2,36,vn
126106,1965-09-12,2,12,vn
105688,1956-10-17,1,24,vn
115375,1995-04-29,1,38,vn
125910,1976-05-18,1,49,vn
103245,2000-11-09,1,56,vn
114397,1979-08-27,2,34,vn
120733,1960-09-19,2,22,vn
106819,1999-09-23,2,46,vn
108508,1993-09-13,1,51,vn
104841,1974-04-14,1,3,vn
110103,1984-10-21,1,54,vn
121715,1959-08-30,2,63,vn
101150,1964-11-27,1,42,vn
111144,1981-04-29,1,11,vn
117702,2004-12-25,1,21,vn
124864,1972-07-25,1,10,vn
123238,1966-06-26,2,5,vn
126924,2010-03-31,1,13,vn
109363,1957-02-12,2,33,vn
128988,2008-04-07,1,31,vn
129358,1974-01-20,2,53,vn
111459,1978-03-01,1,20,vn
128557,1964-10-06,1,62,vn
122839,1997-11-10,2,45,vn
109088,2003-07-04,1,61,vn
121166,1978-03-06,1,44,vn
122346,1970-05-08,1,54,vn
121037,1956-04-30,1,16,vn
119999,1981-09-04,1,29,vn
118975,1983-03-30,1,13,vn
124129,1954-09-27,1,10,vn
115862,1957-01-06,1,34,vn
107264,1991-11-24,2,7,vn
117554,1976-09-23,2,18,vn
120800,2007-05-16,2,53,vn
107225,1950-08-15,2,38,vn
127106,2009-10-02,2,38,vn
100944,1984-04-16,2,41,vn
118468,1968-02-24,2,29,vn
101496,1993-08-21,1,19,vn
104794,2007-07-27,1,32,vn
105468,1973-05-23,2,37,vn
100823,1973-04-22,1,4,vn
129895,1985-08-11,2,3,vn
105016,1953-02-12,2,24,vn
111716,2009-10-05,2,62,vn
104323,1957-10-16,1,15,vn
108421,1972-12-29,2,51,vn
120084,1982-12-04,2,2,vn
111801,1980-08-26,1,45,vn
118455,1995-08-01,1,59,vn
121159,2009-10-31,2,36,vn
121225,1959-05-12,2,29,vn
122175,1962-03-06,1,50,vn
115432,1991-12-13,2,17,vn
101228,1954-06-25,2,49,vn
122311,1951-02-19,2,29,vn
122630,2006-10-11,1,38,vn
100139,1955-07-16,1,55,vn
103340,1973-09-16,2,26,vn
118437,1958-10-03,1,2,vn
122881,1967-06-02,2,13,vn
102703,1982-12-28,1,47,vn
124471,1996-06-21,2,20,vn
111225,1972-01-10,1,40,vn
124023,2000-04-06,1,40,vn
105934,1972-08-03,2,55,vn
124690,1983-05-08,2,17,vn
107420,1998-12-17,2,52,vn
127387,1950-05-16,1,20,vn
124646,1965-08-02,1,56,vn
126455,1964-07-08,1,30,vn
124460,2004-02-29,2,19,vn
121982,1978-02-26,1,40,vn
120455,1997-02-13,2,23,vn
122702,1969-06-08,2,36,vn
100801,1990-11-05,1,15,vn
102087,1974-07-30,2,50,vn
120250,1997-11-27,2,21,vn
122166,1951-05-09,1,59,vn
118754,1964-10-20,2,47,vn
110307,1957-01-15,1,61,vn
111840,1984-07-27,2,2,vn
126102,1961-09-27,1,3,vn
107175,1962-09-18,2,33,vn
119857,1986-07-19,1,19,vn
125531,1987-05-24,1,45,vn
103156,2007-10-18,1,59,vn
101545,1950-04-04,1,16,vn
124907,1960-09-14,2,51,vn
111647,1953-03-27,1,30,vn
119352,1993-09-15,1,22,vn
102930,2008-07-24,1,21,vn
116991,1969-04-15,1,19,vn
105775,1981-07-03,1,44,vn
126491,1958-11-20,1,54,vn
129135,1976-06-11,1,33,vn
106544,1993-04-18,1,10,vn
101769,1959-10-16,1,39,vn
119985,1988-12-18,1,21,vn
106553,1981-04-14,1,42,vn
101759,1955-04-20,2,13,vn
124557,2007-12-11,1,51,vn
103901,1995-03-15,2,26,vn
109893,1990-08-21,1,62,vn
110949,1981-01-08,2,37,vn
118971,1987-09-23,2,58,vn
125181,1981-07-19,2,18,vn
117631,1999-12-13,1,60,vn
110474,1963-07-22,1,12,vn
104063,1972-11-30,1,3,vn
121602,1996-03-01,1,41,vn
118182,1967-05-14,1,43,vn
104976,1978-03-28,1,59,vn
110814,1961-06-22,2,10,vn
106659,2009-09-18,2,41,vn
115399,1998-07-10,2,33,vn
111571,1957-12-22,2,57,vn
104171,2005-06-10,2,19,vn
113745,2009-04-15,1,57,vn
109020,1991-11-08,1,55,vn
105115,1969-10-06,1,34,vn
104424,2002-06-03,2,25,vn
116671,1978-03-22,1,47,vn
127639,2005-10-29,1,22,vn
118674,1997-07-04,2,56,vn
103286,1978-06-23,1,20,vn
116454,1961-04-12,2,60,vn
116951,1962-06-05,1,35,vn
107467,1964-10-17,2,1,vn
119870,1975-02-13,1,29,vn
100389,1963-09-18,1,1,vn
120077,1991-10-23,1,47,vn
116959,1963-06-12,2,63,vn
115762,1977-09-20,2,23,vn
112145,1969-07-18,1,54,vn
109594,1970-05-16,1,55,vn
114260,1958-01-28,2,30,vn
118889,1997-08-04,1,39,vn
129431,1975-04-06,1,52,vn
112499,1977-12-27,1,38,vn
109607,1955-11-23,2,45,vn
119730,1960-03-08,2,32,vn
128716,1970-02-27,2,31,vn
114690,1994-10-26,1,45,vn
110678,1982-06-11,2,43,vn
113828,1964-07-20,2,59,vn
109246,2005-06-03,2,17,vn
112214,1955-07-14,2,12,vn
118558,2007-12-05,1,3,vn
111602,1998-07-30,2,40,vn
127330,1996-07-02,2,46,vn
103600,1966-04-02,2,60,vn
127811,1965-07-29,1,34,vn
120461,1983-10-13,2,40,vn
129712,1991-01-12,1,24,vn
128941,1988-07-23,1,18,vn
116234,1951-09-11,1,5,vn
110879,1964-11-22,2,60,vn
127180,2000-01-26,1,45,vn
129268,2004-12-06,1,56,vn
117987,1999-06-08,2,19,vn
115046,1974-09-20,2,59,vn
110137,1999-05-01,1,26,vn
113174,1952-03-10,1,28,vn
122742,1957-03-16,1,46,vn
126526,2004-10-16,1,17,vn
121469,1955-09-09,2,52,vn
116369,1982-10-22,1,6,vn
100239,2000-09-11,1,13,vn
115284,1961-09-06,1,3,vn
102830,1991-03-21,1,11,vn
109251,2007-04-17,1,38,vn
116340,1957-06-24,2,27,vn
101238,1976-10-11,1,35,vn
121697,1985-01-28,1,55,vn
110462,1964-03-29,1,38,vn
118410,1955-05-02,2,47,vn
105019,1972-08-28,1,50,vn
123081,2000-01-05,1,30,vn
124879,1988-09-01,1,60,vn
128612,1985-03-16,1,46,vn
119695,1993-09-30,1,48,vn
104442,1963-07-09,2,41,vn
118053,1952-10-30,1,38,vn
109806,1999-08-24,1,9,vn
128024,1952-11-06,2,52,vn
123153,1993-07-30,2,6,vn
108359,1982-08-31,1,32,vn
112101,1961-10-15,1,36,vn
110553,1980-12-26,2,46,vn
101701,2000-01-03,2,46,vn
116562,2002-01-22,1,41,vn
100420,1959-09-29,1,15,vn
112885,1996-10-04,2,41,vn
107290,2009-07-10,1,53,vn
127303,1955-08-25,2,63,vn
125425,1951-03-28,1,5,vn
116210,1988-02-26,2,48,vn
117249,1967-11-08,2,21,vn
128676,1954-11-06,2,50,vn
110016,1985-06-14,2,48,vn
121553,1999-12-24,2,10,vn
104905,1990-12-16,2,9,vn
121826,1969-05-14,1,49,vn
127823,1995-01-04,1,30,vn
105565,1978-03-06,1,54,vn
111477,1978-04-13,1,37,vn
108183,1991-10-05,2,45,vn
112390,1962-11-22,1,38,vn
107712,1968-08-10,1,3,vn
118267,1974-03-08,1,38,vn
126749,1993-10-23,2,59,vn
100696,1987-11-01,1,25,vn
109624,1991-07-20,2,35,vn
114513,1974-05-06,2,30,vn
109233,1952-01-12,2,28,vn
117418,2002-08-09,1,26,vn
113124,1976-07-02,1,9,vn
107052,1969-06-11,2,2,vn
101743,2002-09-15,1,47,vn
126499,1967-12-21,2,48,vn
101974,1968-08-07,1,8,vn
